ID,MUID,Code,Currency,Country_Name,Flag
146,C48F439B-2D5A-452B-BB1E-46544D905E55,MongoliaMNT,MNT,Mongolia,True
147,D29CF75B-11C7-4838-9446-177619EB7422,MontenegroEUR,EUR,Montenegro,True
148,3E245C88-86F8-4787-BF3E-B3E85EE8524F,MontserratXCD,XCD,Montserrat,True
149,0BDD0C2F-2237-4D03-A8E3-5421749664D7,MoroccoMAD,MAD,Morocco,True
150,CD22DDB4-2897-4B60-9B37-1C89A65573B1,MozambiqueMZN,MZN,Mozambique,True
151,FE52D6D4-A1D4-4CE5-BD66-32E086595397,MyanmarMMK,MMK,Myanmar,True
152,E91CFEB9-008D-4E28-BB76-5E9104481A6C,NamibiaNAD,NAD,Namibia,True
153,CA9E4328-CAA9-456B-A84D-21F1B8966384,NauruAUD,AUD,Nauru,True
154,80382C74-61CA-408D-8B23-CCF0DCBEF308,NepalNPR,NPR,Nepal,True
155,691C983B-7A59-4834-A6FF-D0E30D182D46,NetherlandsEUR,EUR,Netherlands,True
156,0095BF4C-21DE-4882-BD18-DDCA3C99DEC2,New CaledoniaXPF,XPF,New Caledonia,True
157,DC609C8C-0A2E-4AB5-9655-D830E79661F2,New ZealandNZD,NZD,New Zealand,True
158,83F2131A-3626-4021-B1EB-AAE41A3EF715,NicaraguaNIO,NIO,Nicaragua,True
159,79014B2D-F010-497A-9972-ED1E47A59D26,NigerXOF,XOF,Niger,True
160,FE6587B6-6405-476D-AC77-41911F863A82,NigeriaNGN,NGN,Nigeria,True
161,48B02D0A-99A1-4686-9D8B-EF8ECC3CD9F7,NiueNZD,NZD,Niue,True
162,85296424-4568-4E23-A8DB-AF1596410BBB,Norfolk IslandAUD,AUD,Norfolk Island,True
163,D01D0B63-77DF-433C-B407-BD5373638593,Northern Mariana IslandsUSD,USD,Northern Mariana Islands,True
164,69DAA7F5-92BB-4A2C-8931-CAEB398DA88E,NorwayNOK,NOK,Norway,True
165,7607447E-F179-49B0-A158-7B1675602F3B,OmanOMR,OMR,Oman,True
166,101E5C48-8A54-4E19-9637-7AD3235A4E1F,PakistanPKR,PKR,Pakistan,True
167,FC595F2C-A547-49E5-804C-EDBD03BF5F65,PalauUSD,USD,Palau,True
168,4A448256-16C3-4AD0-9147-ED89F75DFD90,"Palestinian Territory, OccupiedILS",ILS,"Palestinian Territory, Occupied",True
169,89ED23D2-8E90-4A8E-B862-F31F91525263,PanamaUSD,USD,Panama,True
170,A90295F0-2E66-4A82-AFD4-1FC4BE057FF7,Papua New GuineaPGK,PGK,Papua New Guinea,True
171,82C609F1-1D2D-41C4-8266-D8682A17BA68,ParaguayPYG,PYG,Paraguay,True
172,C1CAB318-6607-462D-8B64-B623DCBD3084,PeruPEN,PEN,Peru,True
173,CF490EBF-8422-4F51-85AD-BA7D53629C74,PhilippinesPHP,PHP,Philippines,True
174,C2FB5E33-7610-463B-AAC6-AF70440CD424,PitcairnNZD,NZD,Pitcairn,True
175,021CA833-0DAE-4A0A-8407-71A8FA69FAB6,PolandPLN,PLN,Poland,True
176,2ADA6318-49BF-4DAB-AD48-28B715A32901,PortugalEUR,EUR,Portugal,True
177,FF4541D4-02D5-4C2D-96C9-98B5C75B7494,Puerto RicoUSD,USD,Puerto Rico,True
178,2FC7F076-2F13-4B47-BC33-DBF28C969CB3,QatarQAR,QAR,Qatar,True
179,366DE0AF-837F-4D1E-BE48-6C26DFF98CEB,ReunionEUR,EUR,Reunion,True
180,DEA66899-FAB0-4B89-A33C-E972ECBB5336,RomaniaRON,RON,Romania,True
